Segment,Region,Sub-Category,Group,Period,Sales (USD),Profit (USD),Discount,Quantity
Home Office,East,Labels,Low-Value,Jan 2022,27,3,0,61
Consumer,West,Fasteners,Low-Value,Jul 2022,22,1,0,63
Home Office,Central,Employees (Office Supplies),Low-Value,Jan 2022,57,1,0,58
Consumer,East,Other Miscellaneous 2,Low-Value,Jul 2021,27,1,0,61
Corporate,South,Furnishings,High-Value,Jul 2022,98,13,0,57
Consumer,South,Accessories,High-Value,Jan 2022,136,27,0,61
Consumer,West,Copiers,High-Value,Jan 2022,165,12,0,57
Consumer,West,Copiers,High-Value,Jan 2021,163,29,0,59
Consumer,South,Supplies,Mid-Value,Jul 2021,106,1,0,60
Corporate,Central,Other Miscellaneous 6,Low-Value,Jul 2022,21,1,0,62
Home Office,South,Business Machines,High-Value,Jul 2020,192,12,0,62
Corporate,South,Other Miscellaneous 5,Low-Value,Jul 2021,28,1,0,62
Home Office,West,Copiers,High-Value,Jan 2020,159,13,0,57
Home Office,Central,Other Miscellaneous 5,Low-Value,Jul 2020,16,8,0,62
Consumer,Central,Labels,Low-Value,Jul 2020,42,6,0,63
Consumer,West,Appliances,High-Value,Jan 2022,125,14,0,62
Consumer,East,Other Miscellaneous 6,Low-Value,Jul 2022,22,1,0,58
Consumer,West,Other Miscellaneous 5,Low-Value,Jan 2021,28,6,0,63
Corporate,West,Other Miscellaneous 6,Low-Value,Jan 2022,3,1,0,58
Corporate,Central,Bookcases,High-Value,Jul 2021,91,11,0,62
Consumer,Central,Copiers,High-Value,Jul 2020,191,28,0,59
Consumer,Central,Other Miscellaneous 3,Low-Value,Jan 2020,1,6,0,58
Home Office,South,Bookcases,High-Value,Jul 2021,83,15,0,63
Home Office,Central,Other Miscellaneous 6,Low-Value,Jul 2021,3,4,0,63
Consumer,East,Other Miscellaneous 1,Low-Value,Jul 2022,8,3,0,56
Consumer,East,Other Miscellaneous 5,Low-Value,Jul 2020,27,9,0,58
Consumer,Central,Other Miscellaneous 1,Low-Value,Jan 2021,27,2,0,61
Consumer,West,Business Machines,High-Value,Jul 2022,187,15,0,60
Consumer,West,Accessories,High-Value,Jan 2022,153,23,0,57
Consumer,East,Other Miscellaneous 5,Low-Value,Jan 2021,34,7,0,60
Corporate,South,Appliances,High-Value,Jan 2021,79,12,0,59
Corporate,Central,Other Miscellaneous 3,Low-Value,Jan 2020,1,1,0,59
Consumer,East,Other Miscellaneous 5,Low-Value,Jul 2020,30,7,0,61
Corporate,West,Other Miscellaneous 3,Low-Value,Jul 2022,21,8,0,60
Home Office,West,Other Miscellaneous 6,Low-Value,Jul 2021,1,1,0,63
Consumer,Central,Other Miscellaneous 1,Low-Value,Jul 2022,17,5,0,62
Corporate,Central,Paper,Mid-Value,Jan 2020,22,2,0,60
Consumer,West,Other Miscellaneous 3,Low-Value,Jul 2022,31,4,0,60
Corporate,Central,Other Miscellaneous 6,Low-Value,Jan 2020,32,5,0,59
Consumer,West,Labels,Low-Value,Jan 2021,61,5,0,58
Corporate,Central,Fasteners,Low-Value,Jul 2021,52,6,0,59
Corporate,East,Accessories,High-Value,Jan 2021,162,21,0,62
Corporate,East,Labels,Low-Value,Jan 2022,85,13,0,58
Home Office,Central,Labels,Low-Value,Jan 2020,48,1,0,61
Consumer,South,Other Miscellaneous 1,Low-Value,Jan 2022,27,1,0,60
Consumer,West,Copiers,High-Value,Jul 2020,114,16,0,58
Consumer,Central,Fasteners,Low-Value,Jul 2022,11,8,0,61
Corporate,South,Furnishings,High-Value,Jul 2022,111,6,0,60
Home Office,East,Other Miscellaneous 4,Low-Value,Jan 2021,22,4,0,63
Corporate,East,Other Miscellaneous 5,Low-Value,Jul 2020,1,13,0,62
Consumer,Central,Other Miscellaneous 1,Low-Value,Jan 2020,50,3,0,60
Consumer,Central,Other Miscellaneous 1,Low-Value,Jul 2021,56,3,0,58
Corporate,West,Supplies,Mid-Value,Jul 2022,91,5,0,61
Home Office,Central,Appliances,High-Value,Jan 2022,128,24,0,60
Consumer,West,Business Machines,High-Value,Jul 2021,230,27,5,60
Home Office,East,Other Miscellaneous 6,Low-Value,Jul 2021,1,1,0,57
Corporate,Central,Other Miscellaneous 2,Low-Value,Jul 2022,1,2,0,62
Corporate,West,Labels,Low-Value,Jan 2022,38,11,5,60
Consumer,West,Bookcases,High-Value,Jul 2022,83,12,0,59
Corporate,East,Other Miscellaneous 5,Low-Value,Jan 2022,11,5,0,59
Consumer,Central,Bookcases,High-Value,Jan 2020,97,21,0,60
Corporate,Central,Other Miscellaneous 6,Low-Value,Jul 2022,1,1,0,62
Consumer,Central,Employees (Office Supplies),Low-Value,Jan 2022,17,1,0,62
Consumer,East,Other Miscellaneous 1,Low-Value,Jan 2022,30,2,0,60
Consumer,South,Bookcases,High-Value,Jan 2020,90,1,0,62
Home Office,West,Appliances,High-Value,Jul 2022,93,5,0,60
Home Office,East,Other Miscellaneous 6,Low-Value,Jan 2020,1,1,0,60
Consumer,West,Other Miscellaneous 6,Low-Value,Jan 2021,5,7,0,61
Consumer,East,Other Miscellaneous 3,Low-Value,Jan 2022,45,2,0,63
Consumer,East,Business Machines,High-Value,Jul 2020,149,22,0,60
Home Office,Central,Other Miscellaneous 2,Low-Value,Jan 2021,3,1,0,59
Home Office,West,Labels,Low-Value,Jul 2021,1,4,5,62
Corporate,West,Other Miscellaneous 6,Low-Value,Jul 2022,44,8,5,61
Consumer,Central,Business Machines,High-Value,Jan 2021,217,31,0,62
Corporate,South,Other Miscellaneous 5,Low-Value,Jul 2021,18,3,0,61
Home Office,South,Bookcases,High-Value,Jul 2021,123,16,0,62
Corporate,South,Supplies,Mid-Value,Jul 2021,118,13,5,62
Consumer,South,Fasteners,Low-Value,Jan 2022,41,1,0,63
Consumer,West,Bookcases,High-Value,Jul 2021,98,11,0,59
Home Office,West,Other Miscellaneous 2,Low-Value,Jul 2021,40,1,0,58
Consumer,South,Accessories,High-Value,Jul 2022,146,25,0,59
Consumer,East,Other Miscellaneous 3,Low-Value,Jul 2021,1,1,0,59
Corporate,East,Paper,Mid-Value,Jan 2022,105,12,0,58
Home Office,East,Other Miscellaneous 6,Low-Value,Jan 2020,1,1,0,58
Consumer,South,Business Machines,High-Value,Jul 2021,158,20,0,61
Consumer,Central,Appliances,High-Value,Jul 2021,128,13,0,57
Consumer,Central,Paper,Mid-Value,Jul 2021,135,21,0,59
Consumer,East,Bookcases,High-Value,Jul 2022,70,11,5,60
Consumer,Central,Other Miscellaneous 3,Low-Value,Jul 2022,2,1,5,59
Home Office,East,Paper,Mid-Value,Jul 2022,90,21,0,59
Corporate,Central,Employees (Office Supplies),Low-Value,Jul 2022,40,4,0,57
Consumer,Central,Paper,Mid-Value,Jul 2020,101,15,0,63
Home Office,East,Labels,Low-Value,Jan 2020,12,1,0,59
Consumer,Central,Furnishings,High-Value,Jul 2022,131,22,0,59
Consumer,Central,Accessories,High-Value,Jul 2021,122,12,0,62
Corporate,Central,Supplies,Mid-Value,Jul 2020,100,10,0,62
Consumer,South,Other Miscellaneous 5,Low-Value,Jan 2021,24,4,0,63
Consumer,South,Employees (Office Supplies),Low-Value,Jan 2022,30,3,0,64
Consumer,West,Labels,Low-Value,Jul 2020,13,2,0,55
Home Office,West,Other Miscellaneous 2,Low-Value,Jul 2021,39,11,0,59
Consumer,Central,Accessories,High-Value,Jul 2021,150,24,0,61
Corporate,East,Other Miscellaneous 3,Low-Value,Jan 2020,1,1,0,62
Home Office,East,Other Miscellaneous 6,Low-Value,Jul 2020,11,1,0,61
Consumer,East,Other Miscellaneous 2,Low-Value,Jul 2021,62,4,0,61
Consumer,West,Other Miscellaneous 3,Low-Value,Jan 2021,21,1,0,61
Home Office,West,Furnishings,High-Value,Jan 2021,103,11,0,59
Consumer,West,Other Miscellaneous 6,Low-Value,Jan 2021,26,1,0,61
Corporate,West,Labels,Low-Value,Jan 2021,49,12,5,61
Consumer,West,Furnishings,High-Value,Jan 2021,81,15,0,60
Consumer,East,Labels,Low-Value,Jan 2022,57,5,0,62
Corporate,Central,Labels,Low-Value,Jul 2021,20,1,0,58
Corporate,East,Fasteners,Low-Value,Jan 2021,39,4,0,58
Consumer,East,Paper,Mid-Value,Jan 2022,126,22,0,63
Consumer,Central,Bookcases,High-Value,Jul 2022,104,20,0,58
Home Office,West,Other Miscellaneous 6,Low-Value,Jul 2021,1,2,0,60
Corporate,East,Supplies,Mid-Value,Jul 2021,125,11,0,61
Home Office,Central,Employees (Office Supplies),Low-Value,Jul 2021,68,2,0,61
Consumer,Central,Other Miscellaneous 1,Low-Value,Jan 2020,59,4,0,59
Consumer,East,Other Miscellaneous 1,Low-Value,Jan 2021,40,1,0,61
Consumer,West,Other Miscellaneous 5,Low-Value,Jan 2022,1,9,0,63
Consumer,West,Other Miscellaneous 1,Low-Value,Jul 2022,46,6,0,59
Consumer,South,Labels,Low-Value,Jan 2021,1,1,0,63
Corporate,West,Paper,Mid-Value,Jul 2020,126,7,0,59
Home Office,West,Accessories,High-Value,Jan 2020,183,25,0,60
Corporate,East,Other Miscellaneous 2,Low-Value,Jul 2020,25,8,0,59
Consumer,West,Accessories,High-Value,Jan 2020,116,17,0,60
Consumer,East,Art,Low-Value,Jan 2022,50,13,0,61
Corporate,East,Appliances,High-Value,Jan 2022,98,10,5,64
Corporate,West,Other Miscellaneous 1,Low-Value,Jul 2021,38,8,10,60
Corporate,West,Other Miscellaneous 4,Low-Value,Jan 2021,44,1,0,59
Consumer,Central,Art,Low-Value,Jul 2021,70,13,0,63
Home Office,West,Accessories,High-Value,Jan 2022,147,12,0,63
Consumer,East,Fasteners,Low-Value,Jan 2020,68,2,0,59
Consumer,East,Accessories,High-Value,Jan 2020,162,20,0,62
Corporate,West,Business Machines,High-Value,Jan 2021,206,24,5,62
Corporate,East,Other Miscellaneous 5,Low-Value,Jan 2022,3,1,0,61
Consumer,West,Copiers,High-Value,Jan 2020,124,8,5,60
Consumer,South,Copiers,High-Value,Jan 2022,183,15,0,61
Corporate,West,Copiers,High-Value,Jul 2020,150,16,5,56
Consumer,West,Supplies,Mid-Value,Jul 2022,59,1,0,60
Corporate,South,Fasteners,Low-Value,Jul 2022,46,1,0,64
Consumer,West,Other Miscellaneous 4,Low-Value,Jan 2021,8,7,0,58
Consumer,South,Labels,Low-Value,Jul 2022,71,7,0,62
Consumer,Central,Art,Low-Value,Jan 2022,99,13,0,62
Corporate,West,Appliances,High-Value,Jan 2021,123,16,0,58
Consumer,East,Other Miscellaneous 1,Low-Value,Jan 2021,54,6,0,59
Consumer,East,Labels,Low-Value,Jul 2022,43,1,0,62
Corporate,South,Other Miscellaneous 6,Low-Value,Jul 2021,7,1,0,65
Corporate,East,Employees (Office Supplies),Low-Value,Jul 2021,17,4,0,60
Corporate,South,Other Miscellaneous 2,Low-Value,Jan 2022,18,1,0,61
Corporate,East,Other Miscellaneous 3,Low-Value,Jan 2020,22,5,0,61
Consumer,South,Fasteners,Low-Value,Jan 2022,51,12,0,58
Consumer,Central,Other Miscellaneous 4,Low-Value,Jan 2021,23,1,10,61
Consumer,East,Other Miscellaneous 2,Low-Value,Jan 2021,43,6,0,58
Consumer,East,Other Miscellaneous 4,Low-Value,Jul 2020,1,1,0,60
Consumer,East,Fasteners,Low-Value,Jul 2022,7,1,0,58
Consumer,West,Other Miscellaneous 3,Low-Value,Jul 2021,34,1,0,58
Corporate,East,Business Machines,High-Value,Jul 2021,178,24,0,59
Consumer,East,Accessories,High-Value,Jul 2021,147,14,0,62
Consumer,South,Employees (Office Supplies),Low-Value,Jan 2021,64,8,0,63
Consumer,Central,Other Miscellaneous 2,Low-Value,Jan 2020,25,3,0,59
Corporate,East,Other Miscellaneous 4,Low-Value,Jul 2022,18,1,0,59
Consumer,South,Other Miscellaneous 1,Low-Value,Jan 2021,41,9,0,63
Corporate,West,Fasteners,Low-Value,Jan 2020,49,8,0,58
Consumer,East,Bookcases,High-Value,Jul 2022,125,11,0,60
Home Office,East,Other Miscellaneous 3,Low-Value,Jan 2020,1,4,0,60
Corporate,East,Furnishings,High-Value,Jan 2022,89,3,0,58
Home Office,West,Paper,Mid-Value,Jul 2022,67,14,0,60
Consumer,East,Fasteners,Low-Value,Jul 2022,74,4,0,62
Corporate,East,Supplies,Mid-Value,Jan 2022,84,7,0,58
Consumer,East,Other Miscellaneous 2,Low-Value,Jul 2022,41,7,0,60
Home Office,East,Labels,Low-Value,Jul 2020,61,10,0,61
Consumer,East,Copiers,High-Value,Jan 2022,156,14,0,61
Home Office,West,Furnishings,High-Value,Jul 2020,102,15,5,64
Home Office,South,Other Miscellaneous 2,Low-Value,Jan 2020,54,1,0,63
Consumer,East,Employees (Office Supplies),Low-Value,Jan 2022,36,4,0,59
Home Office,East,Other Miscellaneous 6,Low-Value,Jul 2021,61,6,0,57
Corporate,East,Paper,Mid-Value,Jan 2020,91,19,0,64
Home Office,East,Copiers,High-Value,Jul 2021,191,26,0,57
Consumer,West,Art,Low-Value,Jan 2022,58,13,0,58
Consumer,South,Fasteners,Low-Value,Jul 2021,58,1,0,58
Home Office,East,Supplies,Mid-Value,Jul 2021,108,2,0,64
Consumer,West,Bookcases,High-Value,Jan 2022,122,17,0,58
Consumer,West,Other Miscellaneous 1,Low-Value,Jan 2022,53,12,0,58
Corporate,Central,Bookcases,High-Value,Jan 2020,78,21,0,60
Consumer,South,Business Machines,High-Value,Jul 2020,162,14,0,59
Consumer,West,Fasteners,Low-Value,Jan 2022,63,7,0,60
Corporate,South,Other Miscellaneous 6,Low-Value,Jan 2022,26,7,0,56
Home Office,South,Copiers,High-Value,Jul 2022,121,11,0,56
Corporate,East,Labels,Low-Value,Jan 2022,56,13,0,63
Corporate,West,Other Miscellaneous 3,Low-Value,Jan 2021,10,4,0,59
Home Office,West,Fasteners,Low-Value,Jul 2020,26,1,0,58
Consumer,West,Appliances,High-Value,Jan 2021,108,14,0,62
Consumer,South,Fasteners,Low-Value,Jul 2021,29,2,0,63
Corporate,West,Labels,Low-Value,Jan 2022,39,8,5,56
Consumer,East,Other Miscellaneous 5,Low-Value,Jan 2020,1,1,0,60
Consumer,Central,Other Miscellaneous 6,Low-Value,Jan 2022,13,1,0,62
Consumer,South,Other Miscellaneous 4,Low-Value,Jul 2022,7,4,0,65
Corporate,West,Employees (Office Supplies),Low-Value,Jan 2020,27,6,0,62
Consumer,West,Other Miscellaneous 2,Low-Value,Jul 2021,17,1,5,60
Consumer,Central,Labels,Low-Value,Jan 2022,47,3,0,64
Corporate,South,Other Miscellaneous 5,Low-Value,Jan 2021,15,9,0,60
Corporate,West,Supplies,Mid-Value,Jul 2021,107,17,0,56
Home Office,East,Furnishings,High-Value,Jan 2021,104,19,0,59
Consumer,East,Other Miscellaneous 6,Low-Value,Jul 2021,7,1,0,62
Consumer,Central,Bookcases,High-Value,Jan 2020,99,8,5,63
Corporate,West,Labels,Low-Value,Jul 2021,25,2,0,60
Corporate,South,Appliances,High-Value,Jan 2022,132,21,0,61
Corporate,East,Supplies,Mid-Value,Jan 2020,85,12,0,64
Corporate,East,Other Miscellaneous 4,Low-Value,Jul 2021,1,1,5,62
Corporate,Central,Other Miscellaneous 5,Low-Value,Jul 2020,33,1,0,64
Home Office,West,Other Miscellaneous 1,Low-Value,Jul 2022,44,7,0,63
Consumer,West,Other Miscellaneous 3,Low-Value,Jul 2020,1,1,0,60
Consumer,East,Bookcases,High-Value,Jul 2022,101,11,0,60
Home Office,Central,Bookcases,High-Value,Jan 2021,128,19,0,61
Consumer,East,Art,Low-Value,Jul 2022,87,10,0,62
Consumer,Central,Paper,Mid-Value,Jul 2021,113,9,0,59
Corporate,East,Other Miscellaneous 6,Low-Value,Jul 2021,1,1,5,60
Home Office,West,Other Miscellaneous 2,Low-Value,Jul 2022,51,1,0,60
Corporate,East,Other Miscellaneous 5,Low-Value,Jan 2020,26,7,0,62
Consumer,West,Furnishings,High-Value,Jul 2021,65,4,0,64
Consumer,East,Appliances,High-Value,Jan 2022,105,15,10,60
Consumer,West,Art,Low-Value,Jan 2021,103,10,0,59
Corporate,West,Supplies,Mid-Value,Jul 2021,106,11,5,59
Home Office,East,Furnishings,High-Value,Jan 2020,96,12,0,55
Consumer,West,Other Miscellaneous 4,Low-Value,Jul 2022,1,1,0,57
Corporate,South,Paper,Mid-Value,Jul 2022,96,22,0,58
Consumer,Central,Art,Low-Value,Jul 2020,73,12,0,63
Consumer,South,Other Miscellaneous 2,Low-Value,Jan 2022,20,3,5,60
Corporate,East,Employees (Office Supplies),Low-Value,Jul 2022,15,8,0,58
Corporate,South,Labels,Low-Value,Jan 2021,23,5,0,60
Consumer,Central,Other Miscellaneous 1,Low-Value,Jul 2022,1,1,10,56
Corporate,West,Business Machines,High-Value,Jul 2021,166,19,0,63
Home Office,West,Paper,Mid-Value,Jan 2022,129,17,5,62
Corporate,South,Bookcases,High-Value,Jan 2021,93,10,10,62
Corporate,West,Appliances,High-Value,Jul 2022,122,13,0,55
Home Office,Central,Business Machines,High-Value,Jul 2022,199,26,0,61
Consumer,East,Other Miscellaneous 3,Low-Value,Jan 2022,5,1,0,59
Corporate,West,Other Miscellaneous 4,Low-Value,Jul 2022,1,1,0,63
Corporate,Central,Art,Low-Value,Jan 2021,83,9,0,60
Consumer,South,Bookcases,High-Value,Jan 2021,98,14,0,61
Consumer,South,Fasteners,Low-Value,Jul 2020,17,2,0,59
Corporate,Central,Appliances,High-Value,Jul 2022,122,8,0,60
Corporate,East,Paper,Mid-Value,Jul 2022,93,10,0,62
Consumer,West,Other Miscellaneous 5,Low-Value,Jan 2020,15,3,0,63
Consumer,Central,Other Miscellaneous 6,Low-Value,Jul 2020,1,1,0,59
Home Office,West,Art,Low-Value,Jan 2022,52,1,0,60
Corporate,East,Other Miscellaneous 6,Low-Value,Jul 2022,16,4,0,57
Home Office,East,Copiers,High-Value,Jan 2022,167,24,0,57
Corporate,East,Other Miscellaneous 1,Low-Value,Jan 2022,21,1,0,65
Consumer,East,Bookcases,High-Value,Jan 2022,54,7,0,57
Corporate,West,Appliances,High-Value,Jan 2021,105,11,0,60
Home Office,South,Furnishings,High-Value,Jul 2020,79,13,0,61
Consumer,Central,Furnishings,High-Value,Jan 2021,99,18,5,65
Corporate,Central,Business Machines,High-Value,Jan 2021,165,19,0,61
Corporate,East,Bookcases,High-Value,Jan 2022,89,2,0,60
Consumer,East,Other Miscellaneous 4,Low-Value,Jul 2022,1,1,0,60
Home Office,East,Other Miscellaneous 4,Low-Value,Jul 2021,21,5,0,61
Corporate,East,Other Miscellaneous 3,Low-Value,Jul 2021,13,8,0,59
Home Office,East,Fasteners,Low-Value,Jan 2020,33,1,0,62
Corporate,East,Employees (Office Supplies),Low-Value,Jan 2021,44,6,0,58
Corporate,East,Other Miscellaneous 4,Low-Value,Jul 2021,4,4,0,60
Consumer,Central,Other Miscellaneous 6,Low-Value,Jan 2022,3,1,0,58
Consumer,East,Paper,Mid-Value,Jan 2021,49,9,0,61
Corporate,West,Appliances,High-Value,Jan 2020,65,6,0,61
Corporate,West,Bookcases,High-Value,Jan 2022,73,18,0,60
Consumer,East,Art,Low-Value,Jul 2022,120,14,5,61
Corporate,East,Other Miscellaneous 2,Low-Value,Jul 2022,53,12,0,55
Home Office,East,Other Miscellaneous 3,Low-Value,Jul 2022,47,1,0,61
Consumer,East,Other Miscellaneous 6,Low-Value,Jul 2022,12,2,0,60
Corporate,West,Paper,Mid-Value,Jan 2022,123,19,5,59
Corporate,Central,Other Miscellaneous 2,Low-Value,Jul 2020,45,1,0,61
Home Office,West,Furnishings,High-Value,Jul 2022,84,16,0,63
Consumer,South,Art,Low-Value,Jan 2020,57,3,0,61
Consumer,Central,Fasteners,Low-Value,Jan 2022,48,8,0,58
Corporate,East,Other Miscellaneous 6,Low-Value,Jan 2020,17,2,0,60
Home Office,West,Business Machines,High-Value,Jul 2022,175,21,0,61
Consumer,West,Appliances,High-Value,Jul 2022,138,15,0,57
Corporate,South,Other Miscellaneous 3,Low-Value,Jan 2021,16,1,5,59
Consumer,South,Other Miscellaneous 5,Low-Value,Jul 2020,4,12,0,60
Corporate,Central,Fasteners,Low-Value,Jul 2021,29,2,0,59
Consumer,Central,Fasteners,Low-Value,Jan 2020,35,1,0,61
Home Office,West,Appliances,High-Value,Jul 2021,127,14,0,60
Corporate,West,Other Miscellaneous 4,Low-Value,Jan 2021,1,1,0,60
Consumer,West,Accessories,High-Value,Jul 2020,155,13,0,62
Corporate,Central,Other Miscellaneous 4,Low-Value,Jan 2020,17,4,0,66
Corporate,East,Other Miscellaneous 5,Low-Value,Jan 2020,28,1,0,62
Consumer,West,Bookcases,High-Value,Jul 2020,79,1,0,60
Corporate,Central,Bookcases,High-Value,Jul 2022,102,12,0,61
Consumer,West,Business Machines,High-Value,Jul 2021,158,18,0,60
Consumer,West,Other Miscellaneous 1,Low-Value,Jul 2020,78,8,0,56
Consumer,West,Labels,Low-Value,Jul 2022,80,10,0,63
Corporate,South,Appliances,High-Value,Jan 2022,89,9,0,63
Home Office,Central,Appliances,High-Value,Jan 2022,122,10,0,55
Corporate,Central,Fasteners,Low-Value,Jul 2020,61,14,0,60
Corporate,East,Paper,Mid-Value,Jul 2022,78,10,0,62
Corporate,West,Furnishings,High-Value,Jul 2022,75,6,0,61
Consumer,Central,Bookcases,High-Value,Jul 2022,98,2,0,60
Consumer,East,Fasteners,Low-Value,Jul 2022,66,5,0,58
Home Office,West,Other Miscellaneous 5,Low-Value,Jul 2022,9,5,0,59
Consumer,West,Fasteners,Low-Value,Jan 2021,54,12,0,59
Consumer,East,Furnishings,High-Value,Jan 2022,99,13,0,61
Consumer,East,Accessories,High-Value,Jul 2022,151,18,0,62
Corporate,West,Other Miscellaneous 3,Low-Value,Jul 2021,35,1,0,57
Home Office,East,Business Machines,High-Value,Jan 2021,189,25,0,59
Home Office,East,Other Miscellaneous 2,Low-Value,Jul 2021,19,1,0,60
Home Office,South,Fasteners,Low-Value,Jul 2022,56,3,5,62
Consumer,Central,Other Miscellaneous 6,Low-Value,Jul 2020,1,1,0,60
Corporate,Central,Copiers,High-Value,Jan 2022,164,14,10,60
Consumer,South,Business Machines,High-Value,Jan 2022,149,11,0,60
Corporate,West,Furnishings,High-Value,Jul 2022,96,4,0,63
Corporate,West,Employees (Office Supplies),Low-Value,Jan 2022,81,12,0,60
Corporate,South,Furnishings,High-Value,Jul 2021,83,3,0,60
Consumer,Central,Other Miscellaneous 4,Low-Value,Jan 2021,1,1,0,62
Corporate,West,Accessories,High-Value,Jan 2021,157,18,0,63
Home Office,East,Other Miscellaneous 3,Low-Value,Jan 2021,1,3,0,60
Corporate,East,Accessories,High-Value,Jul 2022,173,24,0,61
Consumer,South,Furnishings,High-Value,Jul 2021,96,9,0,63
Consumer,Central,Fasteners,Low-Value,Jul 2021,72,1,0,62
Consumer,West,Appliances,High-Value,Jan 2022,140,18,5,64
Corporate,East,Accessories,High-Value,Jan 2021,195,18,0,59
Home Office,East,Bookcases,High-Value,Jul 2021,87,12,0,55
Home Office,Central,Accessories,High-Value,Jan 2021,147,15,0,60
Home Office,East,Other Miscellaneous 4,Low-Value,Jul 2022,1,6,0,62
Consumer,East,Employees (Office Supplies),Low-Value,Jan 2021,47,11,5,55
Corporate,East,Business Machines,High-Value,Jan 2021,217,36,0,56
Home Office,Central,Paper,Mid-Value,Jan 2021,114,23,5,56
Consumer,West,Business Machines,High-Value,Jul 2020,203,25,0,60
Corporate,East,Other Miscellaneous 6,Low-Value,Jan 2022,1,1,10,62
Corporate,West,Fasteners,Low-Value,Jan 2022,17,1,10,61
Consumer,East,Other Miscellaneous 6,Low-Value,Jul 2022,1,1,0,61
Consumer,West,Labels,Low-Value,Jan 2021,39,11,0,58
Home Office,West,Employees (Office Supplies),Low-Value,Jul 2020,63,12,0,61
Corporate,Central,Employees (Office Supplies),Low-Value,Jul 2022,32,11,0,62
Corporate,East,Business Machines,High-Value,Jul 2021,189,13,5,59
Home Office,East,Other Miscellaneous 5,Low-Value,Jan 2022,14,2,0,60
Consumer,West,Appliances,High-Value,Jan 2022,127,9,0,61
Consumer,Central,Art,Low-Value,Jul 2022,83,13,0,63
Home Office,West,Supplies,Mid-Value,Jul 2021,93,5,0,61
Home Office,East,Business Machines,High-Value,Jan 2021,187,17,0,60
Home Office,West,Labels,Low-Value,Jan 2020,61,4,0,58
Home Office,South,Other Miscellaneous 6,Low-Value,Jan 2022,1,1,0,62
Consumer,West,Other Miscellaneous 3,Low-Value,Jul 2022,1,3,0,61
Home Office,East,Labels,Low-Value,Jan 2021,112,16,0,58
Corporate,Central,Copiers,High-Value,Jan 2021,149,24,0,61
Consumer,West,Bookcases,High-Value,Jul 2020,153,19,0,62
Consumer,East,Other Miscellaneous 1,Low-Value,Jul 2020,22,1,0,64
Home Office,West,Paper,Mid-Value,Jul 2021,122,13,0,59
Consumer,West,Paper,Mid-Value,Jul 2022,126,12,0,60
Consumer,East,Other Miscellaneous 2,Low-Value,Jan 2022,67,6,0,59
Consumer,East,Business Machines,High-Value,Jul 2020,184,24,0,61
Consumer,West,Accessories,High-Value,Jul 2022,146,4,5,60
Consumer,South,Bookcases,High-Value,Jul 2022,95,8,0,57
Consumer,Central,Other Miscellaneous 5,Low-Value,Jul 2022,41,3,0,58
Corporate,West,Labels,Low-Value,Jul 2022,47,6,0,65
Corporate,South,Furnishings,High-Value,Jan 2020,86,10,5,58
Consumer,South,Supplies,Mid-Value,Jul 2022,106,17,0,59
Consumer,East,Other Miscellaneous 4,Low-Value,Jul 2020,1,3,0,60
Corporate,East,Business Machines,High-Value,Jul 2022,195,18,0,60
Home Office,East,Other Miscellaneous 3,Low-Value,Jul 2022,26,1,0,56
Home Office,East,Other Miscellaneous 5,Low-Value,Jul 2022,35,3,0,59
Consumer,West,Supplies,Mid-Value,Jul 2022,136,23,0,61
Consumer,East,Other Miscellaneous 4,Low-Value,Jan 2022,40,14,5,60
Corporate,South,Other Miscellaneous 5,Low-Value,Jul 2021,25,1,0,63
Corporate,East,Other Miscellaneous 6,Low-Value,Jul 2022,14,4,0,60
Home Office,West,Business Machines,High-Value,Jul 2020,172,14,0,62
Home Office,East,Copiers,High-Value,Jul 2021,180,23,0,59
Consumer,South,Employees (Office Supplies),Low-Value,Jan 2021,61,9,0,61
Consumer,West,Other Miscellaneous 3,Low-Value,Jan 2021,20,1,0,60
Consumer,East,Other Miscellaneous 4,Low-Value,Jan 2021,1,1,10,63
Consumer,Central,Other Miscellaneous 6,Low-Value,Jan 2021,1,1,0,59
Corporate,Central,Other Miscellaneous 2,Low-Value,Jul 2020,38,10,0,64
Consumer,West,Fasteners,Low-Value,Jul 2021,19,1,0,60
Home Office,East,Bookcases,High-Value,Jan 2020,81,1,0,60
Consumer,West,Business Machines,High-Value,Jan 2022,160,28,0,58
Consumer,South,Appliances,High-Value,Jan 2021,98,8,0,62
Consumer,East,Employees (Office Supplies),Low-Value,Jan 2022,33,2,0,58
Consumer,East,Accessories,High-Value,Jul 2022,138,13,0,63
Consumer,West,Furnishings,High-Value,Jul 2021,95,9,0,59
Corporate,East,Other Miscellaneous 5,Low-Value,Jan 2020,9,1,0,60
Corporate,West,Paper,Mid-Value,Jan 2022,139,13,0,59
Corporate,East,Appliances,High-Value,Jan 2022,94,1,0,61
Consumer,West,Other Miscellaneous 5,Low-Value,Jul 2021,1,1,5,59
Consumer,Central,Other Miscellaneous 6,Low-Value,Jan 2021,28,8,0,59
Home Office,East,Paper,Mid-Value,Jan 2022,116,11,0,58
Consumer,East,Business Machines,High-Value,Jan 2022,176,13,0,59
Corporate,West,Copiers,High-Value,Jul 2020,125,16,0,59
Home Office,West,Other Miscellaneous 1,Low-Value,Jan 2020,47,16,0,59
Consumer,West,Other Miscellaneous 5,Low-Value,Jul 2021,1,1,5,60
